v,m,v_min,v_max,m_min,m_max,Bv_max,diver
27.06175117731677,1.7083723212459647,30,100,1e-15,2,100,
87.2691092720493,1.776527948045782,30,100,1e-15,2,100,
73.06862576612885,0.5288499747729727,30,100,1e-15,2,100,
25.984670571754755,1.872490826385276,30,100,1e-15,2,100,
26.326133268639246,0.4335426990525901,30,100,1e-15,2,100,
75.86916519568669,4.313498066689266,30,100,1e-15,2,100,
128.5265474031991,1.564460409576708,30,100,1e-15,2,100,
29.15802708570594,1.95112335882009,30,100,1e-15,2,100,
126.588303455891,1.0896667418921355,30,100,1e-15,2,100,
71.32433427988447,4.636016748597311,30,100,1e-15,2,100,
